X1,X2,X3,X4,X5,X6,X7,X8,Y1
PerDiem,Price Per Gallon ,PPI for Accommodations,YoY Change to PPI,YoY Change Mining and Logging Emp,YoY Change Labor Force,YoY Change Employment,YoY Change in UnEmp Rate,RevPAR
366,3.963,148.2,0.020661157,0.008104738,0.012460723,0.015206702,-0.023255814,250.583057
366,3.811,144.2,0.000693963,0.006246096,0.006929371,0.00950017,-0.023809524,240.6442035
366,3.673,142.1,-0.005598321,0.032094058,0.009032392,0.011573075,-0.023529412,246.1154946
275,3.642,142.2,-0.001404494,0.047327205,0.010572805,0.011805096,-0.010869565,143.1253056
275,3.855,145.6,0.01181376,0.043880699,0.002867718,0.010438685,-0.075268817,147.9414144
275,3.839,150.7,0.011409396,0.04492122,-0.000400224,0.009425256,-0.08988764,190.7770022
312,3.695,149.8,0.014905149,0.06038961,0.004661715,0.014713361,-0.105882353,213.8175177
312,3.675,149.2,0.021917808,0.064020487,0.00302641,0.012809359,-0.103448276,233.8989317
312,3.695,150.9,0.02513587,0.060806553,0.003310317,0.013234168,-0.1,223.6506944
287,3.782,154.5,0.043918919,0.064967361,0.004619994,0.017374049,-0.11827957,195.7019487
287,3.813,151.5,0.018829859,0.069358816,0.00578454,0.01650462,-0.113636364,202.1654349
295,3.739,151.4,0.020215633,0.071495182,0.002065407,0.009318516,-0.072289157,260.6504121
374,3.527,150.9,0.018218623,0.076994434,-0.009253534,-0.001511204,-0.095238095,259.7264428
374,3.479,147.9,0.025658807,0.077901924,-0.003187044,0.009562706,-0.146341463,221.7969216
374,3.6,144.7,0.018296974,0.038485222,-0.008090905,0.008781277,-0.192771084,242.0574031
262,3.585,147.1,0.034458509,0.024707412,-0.005416366,0.013591916,-0.197802198,145.2804571
262,3.577,150.4,0.032967033,0.01773399,0.001176657,0.013823432,-0.127906977,150.4052521
338,3.681,152.3,0.01061712,0.032402952,0.006694744,0.016997429,-0.12345679,176.5534482
338,3.75,152.8,0.020026702,0.038273117,-0.002311639,0.01311357,-0.197368421,225.4870798
338,3.821,154.6,0.036193029,0.050541516,-0.00219674,0.013238096,-0.179487179,249.1432527
338,3.844,155.8,0.032471836,0.057618058,-0.00453673,0.014714715,-0.209876543,235.6003578
300,3.815,156.8,0.014886731,0.063631057,-0.001756872,0.013675515,-0.170731707,200.4658065
300,3.648,158.7,0.047524752,0.055923897,-0.001712423,0.014166022,-0.179487179,213.1467134
374,3.527,156,0.030383091,0.062663185,-0.002095035,0.016130255,-0.220779221,276.1319129
375,3.353,159,0.053677932,0.037324146,0.009009028,0.028371421,-0.223684211,267.3350984
375,3.142,152.2,0.029073698,0.031672905,0.006975911,0.020212707,-0.171428571,222.4718029
375,2.862,149.2,0.031098825,0.044767269,0.005782934,0.018282754,-0.179104478,241.3404281
268,2.398,152.1,0.033990483,0.040609137,0.008351724,0.017968529,-0.109589041,126.4071285
268,2.344,155.3,0.032579787,0.032268474,0.00459937,0.015488807,-0.133333333,146.8359283
